Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty
306,271,9.22,2,151,0,43,106,1.06,129,2.58
307,1624,-1.74,2,151,1,43,678,6.78,765,15.30
308,80,-0.52,0,151,0,43,28,0.28,39,0.78
309,44,4.72,1,151,1,43,12,0.12,18,0.36
310,61,-2.80,0,151,0,43,24,0.24,38,0.76
311,126,1.30,2,151,0,43,51,0.51,54,1.08
312,1853,-7.03,1,151,1,43,714,7.14,893,17.86
313,74,-0.26,1,151,0,43,28,0.28,24,0.48
314,48,-1.37,1,151,0,43,14,0.14,28,0.56
315,88,0.02,0,151,0,43,33,0.33,33,0.66
316,116,1.63,1,151,0,43,43,0.43,57,1.14
317,483,3.84,0,151,0,43,191,1.91,218,4.36
318,1025,10.82,1,151,1,43,491,4.91,442,8.84
319,318,1.85,2,151,0,43,147,1.47,154,3.08
320,257,1.42,2,151,0,43,104,1.04,145,2.90
321,68,2.90,1,151,0,43,30,0.30,30,0.60
322,63,0.62,2,151,0,43,21,0.21,37,0.74
323,106,-0.03,0,151,0,43,39,0.39,48,0.96
324,73,-0.62,1,151,0,43,28,0.28,36,0.72
325,70,0.41,1,151,0,43,29,0.29,30,0.60
326,82,0.77,1,151,0,43,32,0.32,37,0.74
327,243,9.95,1,151,1,43,91,0.91,125,2.50
328,83,0.70,2,151,0,43,34,0.34,43,0.86
329,147,5.56,3,151,0,43,45,0.45,63,1.26
330,396,5.38,2,151,1,43,193,1.93,169,3.38
331,93,0.66,1,151,0,43,31,0.31,41,0.82
332,23,3.48,0,151,1,43,8,0.08,8,0.16
333,501,14.35,1,151,0,43,191,1.91,232,4.64
334,327,0.26,1,151,0,43,134,1.34,155,3.10
335,325,18.66,1,151,1,43,131,1.31,155,3.10
336,176,10.53,3,151,1,43,74,0.74,88,1.76
337,229,3.25,2,151,0,43,98,0.98,102,2.04
338,675,-2.05,1,151,1,43,342,3.42,327,6.54
339,1538,21.18,5,151,1,43,588,5.88,675,13.50
340,167,-4.74,1,151,0,43,53,0.53,77,1.54
341,143,3.65,1,151,0,43,59,0.59,73,1.46
342,206,8.62,1,151,1,43,97,0.97,103,2.06
343,99,7.06,0,151,1,43,30,0.30,47,0.94
344,49,4.63,1,151,1,43,19,0.19,30,0.60
345,125,2.36,2,151,0,43,44,0.44,64,1.28
346,413,7.01,1,151,0,43,170,1.70,181,3.62
347,726,12.28,2,151,0,43,296,2.96,332,6.64
348,443,10.91,2,151,1,43,151,1.51,205,4.10
349,692,20.23,5,151,0,43,272,2.72,300,6.00
350,969,17.38,5,151,1,43,372,3.72,504,10.08
351,584,9.82,2,151,1,43,222,2.22,245,4.90
352,124,7.31,2,151,0,43,46,0.46,56,1.12
353,600,-1.72,2,151,0,43,270,2.70,327,6.54
354,775,20.61,2,151,1,43,272,2.72,299,5.98
355,1838,10.09,2,151,2,43,757,7.57,770,15.40
356,77,-0.39,1,151,0,43,30,0.30,27,0.54
357,370,-8.97,1,151,0,43,179,1.79,182,3.64
358,229,-3.94,1,151,0,43,90,0.90,110,2.20
359,102,10.03,0,151,1,43,33,0.33,45,0.90
360,500,4.72,2,151,0,43,190,1.90,202,4.04
361,522,10.56,2,151,1,43,215,2.15,210,4.20
362,54,2.41,0,151,1,43,20,0.20,31,0.62
363,1067,8.08,2,151,1,43,366,3.66,514,10.28
364,0,-3.00,0,151,0,43,0,0.00,0,0.00
365,49,-5.43,0,151,0,43,24,0.24,26,0.52
366,76,3.18,1,151,1,43,32,0.32,27,0.54
367,46,-1.07,1,151,0,43,10,0.10,22,0.44
368,193,5.85,3,151,0,43,62,0.62,100,2.00
369,525,6.12,1,151,0,43,227,2.27,244,4.88
370,480,12.98,4,151,0,43,176,1.76,215,4.30
371,231,1.45,1,151,1,43,93,0.93,128,2.56
372,289,9.25,2,151,0,43,102,1.02,129,2.58
373,194,7.02,0,151,1,43,50,0.50,92,1.84
374,77,2.47,2,151,0,43,33,0.33,36,0.72
375,302,5.81,0,151,0,43,114,1.14,109,2.18
376,431,17.41,2,151,1,43,153,1.53,174,3.48
377,60,3.08,1,151,1,43,22,0.22,32,0.64
378,78,-0.82,0,151,0,43,27,0.27,32,0.64
379,547,32.93,8,151,2,43,207,2.07,229,4.58
380,16,3.78,1,151,1,43,6,0.06,10,0.20
381,95,2.02,1,151,0,43,25,0.25,32,0.64
382,1416,8.17,2,151,1,43,566,5.66,654,13.08
383,185,4.49,2,151,0,43,63,0.63,99,1.98
384,150,4.36,2,151,0,43,62,0.62,76,1.52
385,51,-0.70,0,151,0,43,24,0.24,20,0.40
386,121,7.27,2,151,1,43,55,0.55,59,1.18
387,387,24.90,5,151,2,43,148,1.48,163,3.26
388,43,-0.61,1,151,0,43,13,0.13,22,0.44
389,287,7.87,3,151,0,43,108,1.08,128,2.56
390,1068,30.81,6,151,2,43,386,3.86,433,8.66
391,2784,-6.50,2,151,1,43,1102,11.02,1207,24.14
392,632,22.77,4,151,2,43,230,2.30,247,4.94
393,353,10.82,2,151,1,43,120,1.20,148,2.96
394,88,2.70,1,151,0,43,25,0.25,45,0.90
395,226,7.25,3,151,0,43,56,0.56,95,1.90
396,733,22.34,3,151,1,43,311,3.11,288,5.76
397,0,-3.00,0,151,0,43,0,0.00,0,0.00
398,547,8.76,2,151,0,43,196,1.96,208,4.16
399,67,1.86,1,151,0,43,25,0.25,27,0.54
400,0,-3.00,0,151,0,43,0,0.00,0,0.00
401,147,4.85,1,151,1,43,56,0.56,61,1.22
402,140,2.78,2,151,0,43,65,0.65,57,1.14
403,1229,25.70,4,151,1,43,503,5.03,515,10.30
404,860,21.59,3,151,1,43,339,3.39,335,6.70
405,3936,-47.61,1,151,1,43,1843,18.43,1694,33.88
406,67,-0.10,1,151,0,43,25,0.25,35,0.70
407,426,16.23,2,151,1,43,164,1.64,168,3.36
408,404,12.95,0,151,1,43,155,1.55,190,3.80
409,197,5.17,1,151,0,43,69,0.69,72,1.44
410,46,3.65,0,151,1,43,14,0.14,23,0.46
411,111,2.83,1,151,0,43,51,0.51,56,1.12
412,1410,2.92,3,151,1,43,586,5.86,636,12.72
413,565,15.43,1,151,1,43,242,2.42,262,5.24
414,195,1.14,0,151,0,43,67,0.67,83,1.66
415,757,13.56,2,151,0,43,341,3.41,303,6.06
416,26,-0.88,0,151,0,43,8,0.08,13,0.26
417,492,3.96,1,151,0,43,200,2.00,190,3.80
418,573,10.63,2,151,0,43,216,2.16,220,4.40
419,53,-0.88,1,151,0,43,14,0.14,19,0.38
420,85,1.93,1,151,0,43,33,0.33,26,0.52
421,669,8.92,1,151,1,43,239,2.39,324,6.48
422,161,4.45,2,151,0,43,55,0.55,82,1.64
423,227,9.60,1,151,1,43,86,0.86,108,2.16
424,15,4.34,1,151,1,43,3,0.03,11,0.22
425,644,17.34,3,151,1,43,249,2.49,299,5.98
426,150,8.66,2,151,1,43,49,0.49,68,1.36
427,8,-2.56,0,151,0,43,2,0.02,5,0.10
428,445,9.44,1,151,1,43,166,1.66,207,4.14
429,112,2.35,2,151,0,43,54,0.54,45,0.90
430,62,0.63,1,151,0,43,29,0.29,26,0.52
431,435,12.64,0,151,1,43,173,1.73,174,3.48
432,0,-3.00,0,151,0,43,0,0.00,0,0.00
433,515,17.49,1,151,2,43,228,2.28,220,4.40
434,693,4.53,2,151,0,43,268,2.68,358,7.16
435,349,7.18,0,151,0,43,138,1.38,166,3.32
436,62,0.44,1,151,0,43,24,0.24,20,0.40
437,1456,19.72,4,151,1,43,559,5.59,738,14.76
438,924,16.21,1,151,1,43,381,3.81,403,8.06
439,586,14.26,2,151,1,43,235,2.35,210,4.20
440,210,5.58,1,151,0,43,70,0.70,78,1.56
441,56,-0.71,0,151,0,43,25,0.25,21,0.42
442,3113,-8.57,2,151,2,43,1441,14.41,1165,23.30
443,1104,40.76,6,151,3,43,436,4.36,456,9.12
444,28,3.99,1,151,1,43,9,0.09,12,0.24
445,612,1.83,2,151,0,43,229,2.29,230,4.60
446,104,6.09,1,151,1,43,42,0.42,45,0.90
447,564,18.32,1,151,2,43,227,2.27,268,5.36
448,2149,28.92,6,151,1,43,850,8.50,1035,20.70
449,457,11.75,3,151,1,43,197,1.97,183,3.66
450,1035,29.18,6,151,1,43,412,4.12,406,8.12
451,345,6.39,3,151,0,43,158,1.58,139,2.78
452,47,-1.44,0,151,0,43,24,0.24,14,0.28
453,114,1.94,0,151,0,43,45,0.45,30,0.60
454,161,1.03,1,151,0,43,75,0.75,73,1.46
455,237,11.16,1,151,1,43,90,0.90,113,2.26
456,294,11.08,2,151,2,43,138,1.38,120,2.40
457,3532,-71.16,1,151,1,43,1377,13.77,1526,30.52
458,127,-1.00,0,151,0,43,39,0.39,46,0.92
459,389,18.42,2,151,2,43,143,1.43,125,2.50
460,965,12.43,2,151,0,43,405,4.05,393,7.86
461,0,-3.00,0,151,0,43,0,0.00,0,0.00
462,158,-2.42,1,151,0,43,60,0.60,66,1.32
463,350,13.58,2,151,1,43,142,1.42,135,2.70
464,482,12.19,2,151,0,43,209,2.09,148,2.96
465,1064,22.74,5,151,1,43,403,4.03,470,9.40
466,157,2.12,1,151,0,43,67,0.67,75,1.50
467,289,4.46,1,151,0,43,119,1.19,113,2.26
468,710,15.48,2,151,1,43,290,2.90,276,5.52
469,655,9.71,2,151,1,43,273,2.73,223,4.46
470,313,8.19,2,151,0,43,123,1.23,101,2.02
471,136,8.41,1,151,1,43,38,0.38,51,1.02
472,291,11.80,2,151,1,43,123,1.23,107,2.14
473,0,-3.00,0,151,0,43,0,0.00,0,0.00
474,23,-4.26,0,151,0,43,6,0.06,8,0.16
475,169,2.98,1,151,0,43,50,0.50,61,1.22
476,156,8.70,1,151,1,43,69,0.69,84,1.68
477,379,8.98,1,151,0,43,149,1.49,153,3.06
